"trans","origin"
"何必远远地打听她的林下风致，她的风流出众早已闻名于世。","林下何须逺借问，出众风流旧有名。"
"春天里，鹭鸶时而悠闲地站立在烟波迷蒙的池塘边上，时而静卧在冷雨飕飕的寒苇丛里。","闲立春塘烟淡淡，静眠寒苇雨飕飕。"
"渔翁回去后沙汀上雾色苍茫，鹭鸶又在无人来往的滩头上自由自在飞上又飞下。","渔翁归后汀沙晚，飞下滩头更自由。"
"江水粼粼斜映着夕阳的余晖，弯弯岛岸苍茫接连山坡绿翠。","澹然空水对斜晖，曲岛苍茫接翠微。"
"眼看人马已乘摆渡扬波而去，渡口柳下人群等待船儿回归。","波上马嘶看棹去，柳边人歇待船归。"
"船过沙洲草丛群殴四处惊散，水田万顷一只白鹭掠空孤飞。","数丛沙草群鸥散，万顷江田一鹭飞。"
"谁理解我驾舟寻范蠡的心意，五湖烟波唯他能忘世俗心机。","谁解乘舟寻范蠡，五湖烟水独忘机。"
"白发垂到了肩膀一尺之长，我离家已经整整三十五个年头（端午节）了。","鹤发垂肩尺许长，离家三十五端阳。"
"小孩子见了很高兴又很惊讶，却问哪个方向是故乡？","儿童见说深惊讶，却问何方是故乡。"
"老翁家贫住在山中，靠耕种三四亩山田为生，田亩少，赋税多，没有吃的。","老农家贫在山住，耕种山田三四亩。"
"粮食送进官府的仓库，最后腐烂变质，化为泥土。","苗疏税多不得食，输入官仓化为土。"
"一年到头，家中只剩下锄头、犁耙靠在空房子里面，只好叫儿子上山去拾橡子充饥。","岁暮锄犁傍空室，呼儿登山收橡实。"
"从长江西面来的富商的船中，成百上千的珠宝用斛来计量，就连船上养的狗也长年吃肉。","西江贾客珠百斛，船中养犬长食肉。"
"八九月芦花满天飞，南溪老人垂钓回来。","八月九月芦花飞，南谿老人重钓归。"
"秋天的山从隐约映入眼帘，野艇靠着栏杆隐约可见。","秋山入帘翠滴滴，野艇倚槛云依依。"
"拿着鱼竿寻找着小路，对着斜阳梳着白发。","却把渔竿寻小径，闲梳鹤发对斜晖。"
"反而是商山四皓多管闲事，为皇太子定夺是非正误。","翻嫌四皓曾多事，出为储皇定是非。"
"峡口的花随风降落，春天快要过去了，想到彼此将要分手万里，不禁泪水沾湿了巾帕。","峡口花飞欲尽春，天涯去住泪沾巾。"
"来的时候（我们）是同路的旅伴，今天我这个“客人”倒变成了主人来送别自己的朋友了。","来时万里同为客，今日翻成送故人。"
"那忽急忽徐、时高时低的古筝声，就从这变化巧妙的指尖飞出来，传入耳中秦筝声声，使人联想到秦人的悲怨之声。","抽弦促柱听秦筝，无限秦人悲怨声。"
"筝声像柳条拂着春风絮絮话别，又像杜鹃鸟绕着落花，娟娟啼血。","似逐春风知柳态，如随啼鸟识花情。"
"那低沉、幽咽的筝声，好像谁家的白发老母黑夜里独坐灯前，为游子不归而对影忧愁。","谁家独夜愁灯影？何处空楼思月明？"
"又好像谁家的少妇独自守立空楼，为丈夫远出而望月长叹。筝声本来就苦，更何况又掺入了我的重重离别之恨，南北远离，相隔千里，两地相思。","更入几重离别恨，江南歧路洛阳城。"
"我以前在巴东三峡之时，曾西望明月遥想家乡峨眉。","我在巴东三峡时，西看明月忆峨眉。"
"遥忆家乡的峨眉山月从峨眉而出，普照沧海，长与人万里相随。","月出峨眉照沧海，与人万里长相随。"
"在黄鹤楼前的月光下，我忽然遇到了您这位从家乡峨眉来的客人。","黄鹤楼前月华白，此中忽见峨眉客。"
"如今，峨眉山月又将随风伴送您西入长安。","峨眉山月还送君，风吹西到长安陌。"
"长安的大道直通九天，峨眉山月也随您朗照八百里秦川。","长安大道横九天，峨眉山月照秦川。"
"在京师，皇帝与达官贵人们登上席次乘坐高座，手执麈尾，高谈重玄之道。","黄金狮子乘高座，白玉麈尾谈重玄。"
"我像浮云一样在吴越游荡，而您却能遭逢圣主，一游丹阙。","我似浮云殢吴越，君逢圣主游丹阙。"
"等您一振高名，誉满帝都之时，再旧来故地，与我一起玩赏峨眉的山月吧。","一振高名满帝都，归时还弄峨眉月。"
"女子貌美如花，真如李延年所歌的《北方有佳人》那样的倾国倾城之貌，如东邻子那样貌美无双，无人能与其相比。","扬清歌，发皓齿，北方佳人东邻子。"
"女子轻启皓齿，便发出了曼妙的歌声。今日逢君到来，她十分高兴，为君轻轻舞动长袖，显出她轻盈的舞姿。","且吟白纻停绿水，长袖拂面为君起。"
"外边夜卷寒云，秋霜浓浓，胡地之秋夜如此寒冷，唯有塞鸿飘飞到国中。","寒云夜卷霜海空，胡风吹天飘塞鸿。"
"满堂的美女玉颜，乐曲没有终散，日落时分在馆娃宫中传来了阵阵哀妙的歌声。","玉颜满堂乐未终，馆娃日落歌吹濛。"
"在这月寒江清的夜晚，女子笑容娇美，价值千金，她舞动罗袖，唱出了哀伤之曲。","月寒江清夜沉沉，美人一笑千黄金。"
"愿与君王做天池的鸳鸯一双，同飞到青云之上。","愿作天池双鸳鸯，一朝飞去青云上。"
"女子漂亮的彩色丝制舞衣是用吴地出产的剪刀裁制而成的，她明妆丽服，比今日的春光还要灿烂照人。","吴刀剪彩缝舞衣，明妆丽服夺春晖。"
"她的一举一动都是那么迷人，扬眉转袖之间，好像片片雪花在轻盈地飞舞。她的容貌真是倾国倾城，为世间所罕见。","扬眉转袖若雪飞，倾城独立世所稀。"
"去年首经路过胡城县城，城里的百性人人喊冤声。","去岁曾经此县城，县民无口不冤声。"
"到如今县官升官穿红袍，这红袍原是百性血染成。","今来县宰加朱绂，便是生灵血染成。"
"你住在碧霞城中十二楼，楼中的阑干曲曲又弯弯。犀角簪明明亮亮一尘不染，身上的玉佩能保暖驱寒。","碧城十二曲阑干，犀辟尘埃玉辟寒。"
"阆苑仙山的仙子们，传送书信多用仙鹤。多情的女床山上，树上都栖宿着凤鸾。","阆苑有书多附鹤，女床无树不栖鸾。"
"我们抬头望着窗外，星沉海底令人心寒。一阵雨云飘过银河，我们只能隔河相看。","星沉海底当窗见，雨过河源隔座看。"
"啊，你这颗晶莹的露珠，如果能像珍珠一样不被硒干，那么，我这一生和你不分离，我将永远爱着水晶盘。","若是晓珠明又定，一生长对水晶盘。"
"你像我的情侣弄玉，不逢萧史，你决不回首赐情。你决不会轻佻随便，见了洪崖，又去爱上别的风流男人。","不逢萧史休回首，莫见洪崖又拍肩。"
"你像紫凤热烈奔放，衔住了佩玉不放；我像赤龙奔腾放纵，疯狂地拨动你的琴弦。","紫凤放娇衔楚佩，赤鳞狂舞拨湘弦。"
"如今，我像孤独的鄂君，只是在船上面对夜空；只有我独自一人面对着薰香和绣被。","鄂君怅望舟中夜，绣被焚香独自眠。"
"我们的幽欢都预约日期，就像那七夕之夜的牛郎织女。如今，她的洞房的门帘珠箔，总是下垂，使洞房更神秘。","七夕来时先有期，洞房帘箔至今垂。"
"一轮圆圆的明月，中间长起了小兔的影子。绞起铁网本想收获珊瑚，珊瑚已经打掉，收不到珊瑚枝。","玉轮顾兔初生魄，铁网珊瑚未有枝。"
"选择一个神仙的药方，让她服了，永葆青春。辜情已败露，无法幽会，暂时停止靠凤纸传达相思。","检与神方教驻景，收将凤纸写相思。"
"唉，那汉武帝与西王母，人神相恋多么神秘！如今《汉武帝内传》传世，还有什么隐秘之事，能瞒过人间呢！","武皇内传分明在，莫道人间总不知。"
"人生在世，哪里没有与朋友的离别？在战乱年代，短暂的分离也让人依依惜别。","人生何处不离群？世路干戈惜暂分。"
"远处雪岭那边朝廷的使臣还稽留天外未归，近处松州一带也还驻扎着朝廷的军队。","雪岭未归天外使，松州犹驻殿前军。"
"座中的醉客们邀请我这清醒的人喝酒，而江水上空明亮的云夹杂着浓黑的雨云，变幻不定，就像现今的社会局势动荡不安。","座中醉客延醒客，江上晴云杂雨云。"
"已经老大无成了，在这成都里面的美酒还真可以用来度过晚年，更何况有像卓文君这样的美女当垆卖酒。","美酒成都堪送老，当垆仍是卓文君。"
"落日将没于岘山之西，我戴着山公的白帽子在花下饮得醉态可掬。","落日欲没岘山西，倒著接蓠花下迷。"
"路旁之人问他们所笑何事？他们原来是笑我像山公一样烂醉如泥。","旁人借问笑何事，笑杀山公醉似泥。"
"遥看汉水像鸭头的颜色一样绿，好像是刚刚酿好还未曾滤过的绿葡萄酒。","遥看汉水鸭头绿，恰似葡萄初酦醅。"
"此江之水若能变为一江春酒，就在江边筑上一个舜山和酒糟台。","此江若变作春酒，垒曲便筑糟丘台。"
"车旁再挂上一壶美酒，在一派凤笙龙管中出游行乐。","车旁侧挂一壶酒，凤笙龙管行相催。"
"那咸阳市中行将腰斩徒叹黄犬的李斯，何如我在月下自由自在地倾酒行乐？","咸阳市中叹黄犬，何如月下倾金罍？"
"看了它我既不为之流泪，也不为之悲哀。","泪亦不能为之堕，心亦不能为之哀。"
"端起那舒州杓，擎起那力士铛，李白要与你们同死生。","舒州杓，力士铛，李白与尔同死生。"
"楚襄王的云雨之梦哪里去了？在这静静的夜晚所能见到只有月下的江水，所听到的只有夜猿的悲啼之声。","襄王云雨今安在？江水东流猿夜声。"
"谁家住宅建成后还去破坏，哪里的亲朋哭了以后又唱起来？","谁家宅第成还破，何处亲宾哭复歌？"
"昨天屋内外还挤满了人，今天在门外就如此冷落了。","昨日屋头堪炙手，今朝门外好张罗。"
"北邙山没有留下空闲土地，东海何曾有稳定的波浪？","北邙未省留闲地，东海何曾有顶波。"
"不要嫌贫爱富去夸张炫耀，死后都成了枯骨又如何呢？","莫笑贱贫夸富贵，共成枯骨两何如？"
"灯光微弱，近乎熄灭，酒醒了，自己背着孤剑准备离开。","一点灯残鲁酒醒，已携孤剑事离程。"
"惆怅的看着漫天飞舞的白雪，听着农家里的鸡鸣，独自一人朝着与返乡的大雁相反的方向前行。","愁看飞雪闻鸡唱，独向长空背雁行。"
"晨霜犹在，草呈白色，光线尚暗，道路还看不分明；时间较早，气温低，浑浊的河流也因天寒而早已被冻住了，没有声响。","白草近关微有路，浊河连底冻无声。"
"这其中来往的人群本来连绵不绝，何况是驱赶了年老之人，客人堵塞城中。","此中来往本迢递，况是驱羸客塞城。"
"人世的升降是瞬息即变，而我却在家中呆坐了四年。","世间荣落重逡巡，我独丘园坐四春。"
"哪怕是有花又有月亮，但就没人把我推荐。","纵使有花兼有月，可堪无酒又无人。"
"八品官的青袍年年都一样，头上的白发却越来越亮眼。","青袍似草年年定，白发如丝日日新。"
"一心想去追逐风波千万里，却不知哪条路才能见龙颜！","欲逐风波千万里，未知何路到龙津。"
"风云突变，安禄山举旗造反，叛军震天动地地杀到长安，无可奈何杀死宠爱的妃子，唐玄宗自己不久也抑郁死去。","冀马燕犀动地来，自埋红粉自成灰。"
"如果说唐玄宗真认为杨贵妃具有倾覆邦国之能，皇帝的玉辇为什么要仓皇地逃往马嵬？","君王若道能倾国，玉辇何由过马嵬。"
"传说，天下九州之外，尚有大九州。恐怕他们的今生，缘分已尽，而来世，尚且未知。","海外徒闻更九州，他生未卜此生休。"
"相守与分离，有与谁知。回想明皇当年，暂驻马嵬，空闻金沱声，不见宫室繁华。短短几夕间，物是人非，斗转星移。岂料玉颜已成空。","空闻虎旅传宵柝，无复鸡人报晓筹。"
"胞弟不正，三军怒斩其妹。那夜的天，正如那晚在长生殿嗤笑牛郎织女的天。","此日六军同驻马，当时七夕笑牵牛。"
"谁料，竟然连牛郎织女也不如。想来天子也不过如此，连自己心爱的人都无法保护。早知如此，倒不及小家的莫愁女了。","如何四纪为天子，不及卢家有莫愁。"
"猿鸟犹疑是惊畏丞相的严明军令，风云常常护着他军垒的藩篱栏栅。","猿鸟犹疑畏简书，风云常为护储胥。"
"诸葛亮徒然在这里挥笔运筹划算，后主刘禅最终却乘坐邮车去投降。","徒令上将挥神笔，终见降王走传车。"
"孔明真不愧有管仲和乐毅的才干。关公张飞已死他又怎能力挽狂澜？","管乐有才原不忝，关张无命欲何如？"
"往年我经过锦城时进谒了武侯祠，曾经吟诵了梁父吟为他深表遗憾！","他年锦里经祠庙，梁父吟成恨有余。"
"薄云四处飘散还不见银河，清风吹开云雾月光放清波。","纤云四卷天无河，清风吹空月舒波。"
"沙滩里水平波息声影消失，斟杯美酒相劝请你唱支歌。","沙平水息声影绝，一杯相属君当歌。"
"你的歌声酸楚歌辞也悲苦，没有听完热泪就纷纷下落。","君歌声酸辞且苦，不能听终泪如雨。"
"洞庭湖水连天九疑山高峻，湖中的蛟龙出没猩鼯哀号。","洞庭连天九疑高，蛟龙出没猩鼯号。"
"九死一生到达这被贬官所，默默地幽居远地好像潜逃。","十生九死到官所，幽居默默如藏逃。"
"下床怕蛇咬吃饭又怕毒药，潮气与毒气相杂到处腥臊。","下床畏蛇食畏药，海气湿蛰熏腥臊。"
"昨日州衙前忽然擂动大鼓，新皇继位要举用夔和皋陶。","昨者州前捶大鼓，嗣皇继圣登夔皋。"
"大赦文书一日万里传四方，犯有死罪的一概免除死刑。","赦书一日行万里，罪从大辟皆除死。"
"被贬谪的召回放逐的回朝，革除弊政要剪除朝中奸佞。","迁者追回流者还，涤瑕荡垢清朝班。"
"刺史提名赦免观察使扣压，命运坎坷只能够迁调荒漠。","州家申名使家抑，坎轲只得移荆蛮。"
"判司原本是小官不堪一提，未免跪地挨打有苦向谁说。","判司卑官不堪说，未免捶楚尘埃间。"
"一起被贬谪的大都已回京，进身朝廷之路比登天难攀。","同时辈流多上道，天路幽险难追攀。"
"你的歌声暂且停止听我唱，我的歌声和你绝不是同科。","君歌且休听我歌，我歌今与君殊科。"
"一年的明月今夜月色最好，人生由命又何必归怨其他，","一年明月今宵多，人生由命非由他。"
"天马来自于月支窟那个地方，它脊背的毛色如同虎纹一样漂亮，骨如龙翼一样坚韧有力。","天马来出月支窟，背为虎文龙翼骨。"
"天马仰天而嘶，声震青云；它摇动着的鬃毛，像绿发一样明亮。它兰筋权奇，骨相神骏，飞跑起来，倏然而逝，连影子也看不清楚。","嘶青云，振绿发，兰筋权奇走灭没。"
"鸡鸣时它还在燕地刷毛理鬃，到傍晚时它已在越地悠闲地吃草了。其神行之速真如电闪一般，只见其影而不见其形。","鸡鸣刷燕晡秣越，神行电迈蹑慌惚。"
"天马呼啸着驰骋而过，就像是飞龙一样窈矫。它目如明星，膀如双凫。","天马呼，飞龙趋，目明长庚臆双凫。"
"尾如流星，首如渴鸟，口喷红光，汗流如血。","尾如流星首渴乌，口喷红光汗沟朱。"
"它曾与宫中的御马一道在天街上奔驰，羁金络月，光照皇都。","曾陪时龙蹑天衢，羁金络月照皇都。"
"豪逸之气，凌迈九州。此时天马的身价，就是堆积如山的白壁，也难抵其值。","逸气棱棱凌九区，白璧如山谁敢沽。"
"但是时过境迁，好景不长。如今的天马，虽然依日顾恋天子的车驾。","天马奔，恋君轩，駷跃惊矫浮云翻。"
"对天马此种不幸之遭遇，只有伯乐才会中适停车为之抚慰悲叹，少尽其力而老被遗弃。","伯乐翦拂中道遗，少尽其力老弃之。"
"五月的严霜摧凋了桂枝，天马伏枥含冤无草可食。","严霜五月凋桂枝，伏枥衔冤摧两眉。"
"诸君有哪位可怜这匹年老的天马，请您赎献给穆天子，它虽不能出力拉车了。但在瑶池上作一匹弄影的舞马，总还是可以的吧！","请君赎献穆天子，犹堪弄影舞瑶池。"
"金井边的梧桐秋叶渐黄，珠帘不卷可知夜里飞霜。","金井梧桐秋叶黄，珠帘不卷夜来霜。"
"熏笼玉枕有如容颜憔悴，静卧愁听南宫漏声悠长。","熏笼玉枕无颜色，卧听南宫清漏长。"
"秋天高殿内捣衣声响彻夜阑，夜里霜重还记起君王御衣寒。","高殿秋砧响夜阑，霜深犹忆御衣寒。"
"更深人静银灯下裁衣才停歇，目光还转向宫城明主那边看。","银灯青琐裁缝歇，还向金城明主看。"
"天亮就拿起扫帚打扫金殿尘埃，百无聊赖时手执团扇且共徘徊。","奉帚平明金殿开，且将团扇共徘徊。"
"美丽的容颜还不如乌鸦的姿色，它还能带着昭阳殿的日影飞来。","玉颜不及寒鸦色，犹带昭阳日影来。"
"果真成为薄命人长久陷入沉思，梦中又见到君王醒后心里生疑。","真成薄命久寻思，梦见君王觉后疑。"
"灯火照耀着西宫知道是在夜饮，眼前分明浮现复道蒙恩受宠时。","火照西宫知夜饮，分明复道奉恩时。"
"长信宫中惟有秋月尚明，昭阳殿下响起捣衣声声。","长信宫中秋月明，昭阳殿下捣衣声。"
"白露堂中满是杂草印迹，那边红罗帐里绵绵深情。","白露堂中细草迹，红罗帐里不胜情。"
"借问章台的柳啊，过去你是那样婀娜多姿，如今你还和往日一样吗？","章台柳，章台柳，往日依依今在否？"
"纵然那细长柔嫩的枝条，飘垂如故，恐怕也被他人攀折得不像样了。","纵使长条似旧垂，也应攀折他人手。"
"只有虚假的，不好的东西才需要一个好的包装。如果是真实的，好的东西就不需要华丽的包装来掩饰了。","假金方用真金镀，若是真金不镀金。"
"十年春秋苦读才能及第，你为什么不积累知识，而去想那些远大的志向呢？","十载长安得一第，何须空腹用高心。"
"新月如弯弓还没有到半个圆，却分明在天边斜挂着。","初月如弓未上弦，分明挂在碧霄边。"
"人们不要小看它只像弯弯的眉毛，等到十五夜，它会团圆完满，光照天下。","时人莫道蛾眉小，三五团圆照满天。"
"在西湖附近的孤山上有座孤山寺，傍晚听完高僧佛经讲解划船回去。","柳湖松岛莲花寺，晚动归桡出道场。"
"因为卢橘饱含雨水，所以其果实沉重而低垂，棕榈的叶子随着清风的吹动相互击打着。","卢橘子低山雨重，栟榈叶战水风凉。"
"湖上的水气迷蒙，微波动荡，水天一色， 望湖上琼楼珠殿，参差不去，倒映在夕阳下。","烟波澹荡摇空碧，楼殿参差倚夕阳。"
"回到对岸，请各位客人在回首望去，孤山寺仿佛像仙山中的蓬莱宫一样，坐落在水中央。","到岸请君回首望，蓬莱宫在海中央。"
"在仙台上刚见到五城楼，夜雨初停景物冷落凄清。","仙台初见五城楼，风物凄凄宿雨收。"
"晓山翠色遥连秦地树木，汉宫砧声报讯寒秋来临。","山色遥连秦树晚，砧声近报汉宫秋。"
"空坛澄清疏松影落水底，小洞清幽细草芳香沁人。","疏松影落空坛静，细草香闲小洞幽。"
"何必去寻找世外的仙境，人世间就有美好的桃源。","何用别寻方外去，人间亦自有丹丘。"
"开国以来善画鞍马的画家中，画技最精妙传神只数江都王。","国初已来画鞍马，神妙独数江都王。"
"曹将军画马出名已有三十载，人间又见古代真正神马“乘黄”。","将军得名三十载，人间又见真乘黄。"
"他曾描绘玄宗先帝的“照夜白”，画得象池龙腾飞十日声如雷。","曾貌先帝照夜白，龙池十日飞霹雳。"
"皇宫内库珍藏的殷红玛瑙盘，婕妤传下御旨才人将它取来。","内府殷红玛瑙盘，婕妤传诏才人索。"
"将军接受赐盘叩拜皇恩回归，轻纨细绮相继赐来快速如飞。","盘赐将军拜舞归，轻纨细绮相追飞。"
"贵戚们谁得到曹将军亲笔迹，谁就觉得府第屏障增加光辉。","贵戚权门得笔迹，始觉屏障生光辉。"
"当年唐太宗著名宝马“拳毛?”。近代郭子仪家中好驹“狮子花”。","昔日太宗拳毛騧，近时郭家狮子花。"
"而今新画之中就有这两匹马，使得识马的人久久感慨赞夸。","今之新图有二马，复令识者久叹嗟。"
"这都是战骑以一胜万的好马，展开画绢如见奔马扬起风沙。","此皆骑战一敌万，缟素漠漠开风沙。"
"其余七匹也都是特殊而奇绝，远远看去象寒空中飘动烟雪。","其余七匹亦殊绝，迥若寒空动烟雪。"
"霜蹄骏马蹴踏在长楸大道间，专职马倌和役卒肃立排成列。","霜蹄蹴踏长楸间，马官厮养森成列。"
"可爱的九匹马神姿争俊竞雄，昂首阔视显得高雅深沉稳重。","可怜九马争神骏，顾视清高气深稳。"
"请问有谁真心喜爱神姿骏马？后世韦讽前代支遁名传天下。","借问苦心爱者谁，后有韦讽前支遁。"
"想当年玄宗皇上巡幸新丰宫，车驾上羽旗拂天浩荡朝向东。","忆昔巡幸新丰宫，翠华拂天来向东。"
"腾飞跳跃精良好马有三万匹，匹匹与画图中马的筋骨雷同。","腾骧磊落三万匹，皆与此图筋骨同。"
"譬如河宗献宝之后穆王归天，唐玄宗再也不能去射蛟江中。","自从献宝朝河宗，无复射蛟江水中。"
"洞庭湖的秋天，白浪连天，树木叶落稀疏，北方的鸿燕开始飞入吴地。","洞庭白波木叶稀，燕鸿始入吴云飞。"
"北风呼啸，鸿燕夜宿潇湘沙浦，王节士悲秋泪如雨飞。","风号沙宿潇湘浦，节士悲秋泪如雨。"
"春日里遥望荒郊，看着泾水曲折地流去，环绕着远处的村落，无限愁绪从胸中升起。","荒郊一望欲消魂，泾水萦纡傍远村。"
"众多的牛马放牧，导致原上春草殆尽。耕破了田地，发现了古碑，证实了这里就是秦国故地。","牛马放多春草尽，原田耕破古碑存。"
"积雪茫茫的山峦，在黄昏中变得更加苍茫；夕阳伴着云烟，让树林变得更加昏暗。","云和积雪苍山晚，烟伴残阳绿树昏。"
"行走好几里路，还都是茫茫黄沙。太荒凉了，想想这秦地当年的繁盛，的确让人不堪回首。","数里黄沙行客路，不堪回首思秦原。"
"每天太阳从东方升起的时候，人世间纷繁复杂多如牛毛的事便开始一件件发生。","日出扶桑一丈高，人间万事细如毛。"
"很多不平之事发生在周围，心里充满了愤怒，于是不断对它们进行抨击，但不平事太多，多得把胸中那把与不平之事相抗争的“刀”都渐渐地磨损了。","野夫怒见不平处，磨损胸中万古刀。"
"荆山刚刚越过华山迎面来，红日东升潼关也四门大开。","荆山已去华山来，日出潼关四扇开。"
"刺史大人莫说迎接路途远，宰相裴度刚破蔡州凯旋回。","刺史莫辞迎候远，相公亲破蔡州回。"
"寒冷的冬夜，觉得特别漫长。一个女子久久地坐在北堂沉吟。","冬夜夜寒觉夜长，沉吟久坐坐北堂。"
"寒泉结冰，冷月入闺，一灯如豆。发出清冷的寒光，缭着女子的满面泪痕。","冰合井泉月入闺，金缸青凝照悲啼。"
"灯火忽被寒风吹灭，她更感凄凉，哭得更加悲切。忽然听见了一个男子的歌声，她擦干了脸上的眼泪，停住了悲泣，专注地听着。","金缸灭，啼转多。掩妾泪，听君歌。"
"歌声有深意，妾心有深情，情与声相合，两情无违背。","歌有声，妾有情。情声合，两无违。"
"当我少年的时候就跟随大军去征讨河潢（吐蕃占据的地方），到了头发花白才返回故乡。","少年随将讨河湟，头白时清返故乡。"
"十万将士都葬身边陲，只剩下我独自面对残阳吹着边塞的乐曲。","十万汉军零落尽，独吹边曲向残阳。"
"（被称为曾孙）的众乡人只得到仙人们赏赐的一杯流霞仙酒，今天所听到的空中箫鼓声不知道以后什么时候再能听到。","只得流霞酒一杯，空中箫鼓几时回。"
"武夷洞里长满了很多有毒的毛竹，那些被称为曾孙的乡人们纷纷老去，再也没来。","武夷洞里生毛竹，老尽曾孙更不来。"
"晨光初照，屋室通明，早衙鼓正开始咚咚地敲响。","晨光出照屋梁明，初打开门鼓一声。"
"小狗在台阶上睡觉知道大地已经变得潮湿，小鸟正在窗前不停鸣叫仿佛在报告天晴的消息。","犬上阶眠知地湿，鸟临窗语报天晴。"
"昨天饮酒甚多，到今天早晨起来尚有头重脚轻之感，刚刚脱去了冬衣顿时令身体轻松爽快。","半销宿酒头仍重，新脱冬衣体乍轻。"
"睡醒后只觉得心境非常空明而没有烦恼，大概是夜里没有思乡之梦撩人愁思的缘故吧。","睡觉心空思想尽，近来乡梦不多成。"
"青午时在边城使性放狂，骣骑着蕃地马箭射黄羊。","少小边州惯放狂，骣骑蕃马射黄羊。"
"到如今年纪老没了筋力，还靠着军营门来数雁行。","如今年老无筋力，犹倚营门数雁行。"
"清河郡五城原是我的家，博取功名全靠着好箭法。","家本清河住五城，须凭弓箭得功名。"
"秋原飞驰本来是等闲事，宝雕弓独自向着寒空发。","等闲飞鞚秋原上，独向寒云试射声。"
"弓箭沐浴着霞光，宝剑照耀着寒霜。剑起案列的秋风，驰马飞出了咸阳。","弓背霞明剑照霜，秋风走马出咸阳。"
"国土一角仍沦陷，天子没有收河湟。这种情况不改变，不拟回头望故乡。","未收天子河湟地，不拟回头望故乡。"
"庭院里霜满地，月亮已过了小楼，倚着玉柱畅饮，欣赏那深秋景色。","霜满中庭月满楼，金樽玉柱对清秋。"
"当年的称意，不过是片刻的快乐，开怀畅饮不到天明，不肯罢休啊。","当年称意须行乐，不到天明不肯休。"
"大风卷走寒冷的云朵，昨晚虽然下了雪但今天天气晴朗了。江边的烟雾一扫而空，于是柳树的枝条显得更加轻盈。","风卷寒云暮雪晴，江烟洗尽柳条轻。"
"（诗人目光所及处）屋檐下几片空地的积雪没有人打扫，（诗人挑灯夜读）不经意间，又是一个晚上过去。","檐前数片无人扫，又得书窗一夜明。"
"在清风明月之夜，我想念你极了。浪荡的人啊，你从军十多年了。","清风明月苦相思，荡子从戎十载馀。"
"你出征时，我再三嘱咐过你了，当鸿雁南归时，你千万要托它捎封家信回来啊！","征人去日殷勤嘱，归雁来时数附书。"
"满头的秀发如今乱如飞蓬，买不起首饰，只好自己用荆条折成了发钗别在头上，像这样的贫穷人家，世上真是少有的啊。连一件像样的衣裙都没有，还穿着出嫁时娘家陪送的布裙，而今那样的衣装已经没有人再穿了。","蓬鬓荆钗世所稀，布裙犹是嫁时衣。"
"已经到了春耕的时候，该播种芝麻了，然而丈夫在外，谁来和我一起播种呢？按说现在已到了丈夫回家的时候了，为什么还不见回来呢？","胡麻好种无人种，正是归时不见归。"
"寄情于花，寄情于酒欣喜与花的盛开，左手拿着花枝右手拿着酒杯。","寄花寄酒喜新开，左把花枝右把杯。"
"想问问花枝和酒杯，老朋友为什么不能一起来呢？","欲问花枝与杯酒，故人何得不同来？"
"大清早，宫妃们在十二楼打扮梳妆；登上望仙楼台，盼望着临幸的君王。","十二楼中尽晓妆，望仙楼上望君王。"
"兽形门环紧锁宫门，内心十分凄怆；铜龙漏斗越滴越慢，坐待更觉日长。","锁衔金兽连环冷，水滴铜龙昼漏长。"
"发髻梳理完毕，还要对镜反复端详，重换一件罗衣，注意加熏一些香料。","云髻罢梳还对镜，罗衣欲换更添香。"
"远远看见，正殿闪动人影启开珠帘；看见短袍绣裤宫女，正在打扫御床。","遥窥正殿帘开处，袍袴宫人扫御床。"
"秋风惊人心，壮士辛苦著作急，有似昏灯里，纺织娘啼叫着催织寒衣。","桐风惊心壮士苦，衰灯络纬啼寒素。"
"日后谁来读我用竹简写下的这编书，不使它被蠹虫蛀成粉屑和洞隙？","谁看青简一编书，不遣花虫粉空蠹。"
"这思想牵扯着，今晚我的肚肠也要愁直了，雨滴冷飕飕，像有古诗人的灵魂来慰吊。","思牵今夜肠应直，雨冷香魂吊书客。"
"秋夜坟场上，诗鬼们诵读着鲍氏的诗句，他们的怨血在土中化作碧玉，千年难消。","秋坟鬼唱鲍家诗，恨血千年土中碧。"
"吴山高，越水清，握手无言是难以抑制别离时的伤情。","吴山高，越水清，握手无言伤别情。"
"就要告别您扬帆而去，离魂正萦绕着春郊的树丛。","将欲辞君挂帆去，离魂不散烟郊树。"
"此时我心中的郁结有谁知晓呢？真是有愧于当初承受您对我以国士相待的恩情。","此心郁怅谁能论，有愧叨承国士恩。"
"为赏春我们一起在春城三月畅饮，每当迎接节候，我们一起接受王公贵族的宴请。","云物共倾三月酒，岁时同饯五侯门。"
"我常常羡慕您案上摆满素帛道书，那上面的朱字与素帛就像云霞在空中相映。","羡君素书尝满案，含丹照白霞色烂。"
"我也曾为学道而钻研道经与学仙，往往梦中都在仙山上游行。","余尝学道穷冥筌，梦中往往游仙山。"
"总盼着有一天会得道解脱而玉，进入那壶中别有日月的仙境。","何当脱屣谢时去，壶中别有日月天。"
"人生本来短暂，如花一样易于凋零，又如同这窗前钟山上的白云，飘忽聚散不定。","俯仰人间易凋朽，钟峰五云在轩牖。"
"前次伤别是您去嵩山玉女窗访仙学道，归来时我兴奋地对您这洪崔仙子握手相迎。","惜别愁窥玉女窗，归来笑把洪崖手。"
